uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"10483b94-aaff-4e9c-8ec0-cdc6b99d8c1a",6232,"Network activity","ip-dst","188.68.221.203","C2",1,1640613286,"","","","",""
"3b543889-90f6-4d11-ab60-05338ca1fffa",6232,"Network activity","ip-dst","93.115.18.248","C2",1,1640613286,"","","","",""
"b429a1b5-96c9-4a19-a3bb-5ecf92776097",6232,"Network activity","ip-dst","84.38.183.174","C2",1,1640613286,"","","","",""
"e43a7285-3479-444c-923e-2142f40f9439",6232,"Network activity","ip-dst","80.249.145.212","C2",1,1640613286,"","","","",""
"b6f83a7a-06db-4e59-90d7-9b9a06a5993b",6232,"Network activity","ip-dst","185.170.213.186","C2",1,1640613286,"","","","",""
"1889de76-be72-473d-a083-50a7bf0271f4",6232,"Payload delivery","sha256","ed6910fd51d6373065a2f1d3580ad645f443bf0badc398aa77185324b0284db8","Signed Droppers",1,1640613306,"","","","",""
"2921fb64-3a44-4cef-adb5-6d4d8ae8a440",6232,"Payload delivery","sha256","cb949ebe87c55c0ba6cf0525161e2e6670c1ae186ab83ce46047446e9753a926","Signed Droppers",1,1640613306,"","","","",""
"8e0ec559-f855-48c0-b4ea-5a2141d444c4",6232,"Payload delivery","sha256","7b9091c41525f1721b12dcef601117737ea990cee17a8eecf81dcfb25ccb5a8f","Signed Droppers",1,1640613306,"","","","",""
"e16ce42f-13aa-4c95-b5c2-e96188e9ec73",6232,"Payload delivery","sha256","84a67f191a93ee827c4829498d2cb1d27bdd9e47e136dc6652a5414dab440b74","Signed Droppers",1,1640613306,"","","","",""
"677e8908-11af-454b-beb3-7b3bce6fbb1a",6232,"Payload delivery","sha256","cc31c124fc39025f5c3a410ed4108a56bb7c6e90b5819167a06800d02ef1f028","Signed Droppers",1,1640613306,"","","","",""
"5c24b6f1-84b6-43e2-8bcb-91376fe21521",6232,"Payload delivery","sha256","9472d4cb393256a62a466f6601014e5cb04a71f115499c320dc615245c7594d4","Signed Droppers",1,1640613306,"","","","",""
"7888b133-0435-4e06-8b5c-65c190c58dfd",6232,"Payload delivery","sha256","4fe551bcea5e07879ec84a7f1cea1036cfd0a3b03151403542cab6bd8541f8e5","Signed Droppers",1,1640613306,"","","","",""
"e6eb7ad4-b80e-485e-a17c-e6765c0a790f",6232,"Payload delivery","sha256","1a10a07413115c254cb7a5c4f63ff525e64adfe8bb60acef946bb7656b7a2b3d","Signed Droppers",1,1640613306,"","","","",""
"47266d2f-2073-487d-beb8-e1d27f915b83",6232,"Payload delivery","sha256","9bccc1862e3e5a6c89524f2d76144d121d0ee95b1b8ba5d0ffcaa23025318a60","Signed Droppers",1,1640613306,"","","","",""
"b1166ca1-4b6e-4545-bed1-dd3c247da01e",6232,"Payload delivery","sha256","8a414a40419e32282d33af3273ff73a596a7ac8738e9cdca6e7db0e41c1a7658","Signed Droppers",1,1640613306,"","","","",""
"a3042d51-708c-4c89-a816-12de2d0ab3fe",6232,"Payload delivery","sha256","923b2f90749da76b997e1c7870ae3402aba875fdbdd64f79cbeba2f928884129","Signed Droppers",1,1640613306,"","","","",""
"55bc3d2e-97f5-45cd-b35c-8e40f8637415",6232,"Payload delivery","sha256","ed241c92f9bc969a160da2c4c0b006581fa54f9615646dd46467d24fe5526c7a","Signed Droppers",1,1640613306,"","","","",""
"f330a5f3-9684-4d5c-8d63-fd394fabde4a",6232,"Payload delivery","sha256","294c710f4074b37ade714c83b6b7bf722a46aef61c02ba6543de5d59edc97b60","Signed Droppers",1,1640613306,"","","","",""
"e2e07dcf-0fc5-4ec9-a687-b76b5ff85422",6232,"Network activity","hostname","moduleloader.s3.eu-west-2.amazonaws.com","C2",1,1640613350,"","","","",""
"f229dd27-7939-4fbd-a1bc-725ff9ab115d",6232,"Network activity","domain","discountshadesdirect.com","C2",1,1640613350,"","","","",""
"6e081a26-8f80-40bc-b995-058ddfc22a18",6232,"Network activity","domain","bimelectrical.com","C2",1,1640613350,"","","","",""
"01e0ed96-275a-4955-859c-a76514cdaf94",6232,"Network activity","domain","clippershipintl.com","C2",1,1640613350,"","","","",""
"9eacb027-1ca4-486e-87c2-fb2d596f4e02",6232,"Payload installation","x509-fingerprint-sha1","f3503970c2b5d57687ec9e31bb232a76b624c838","Code-signing certificate thumbprint",1,1640613677,"","","","",""
"326213f8-22e8-4bdc-8b61-408282a5a0f0",6232,"Payload delivery","sha256","df8142e5cf897af65972041024ebe74c7915df0e18c6364c5fb9b2943426ed1a","Unsigned BLISTER Loader DLL",1,1640613801,"","BLISTER","","",""
"09840269-fa6d-4d70-9835-cdd4cf9c1405",6232,"Payload delivery","sha256","2d049f7658a8dccd930f7010b32ed1bc9a5cc0f8109b511ca2a77a2104301369","Unsigned BLISTER Loader DLL",1,1640613801,"","BLISTER","","",""
"d0528949-7fc2-444e-84b7-70a2212c243d",6232,"Payload delivery","sha256","696f6274af4b9e8db4727269d43c83c350694bd1ef4bd5ccdc0806b1f014568a","Unsigned BLISTER Loader DLL",1,1640613801,"","BLISTER","","",""
"25b19fe4-ef89-41db-bc39-3ed9e73ac522",6232,"Payload delivery","sha256","a34821b50aadee0dd85c382c43f44dae1e5fef0febf2f7aed6abf3f3e21f7994","Unsigned BLISTER Loader DLL",1,1640613801,"","BLISTER","","",""
"2e998424-bfbb-40a4-a634-81a150dad963",6232,"Payload delivery","sha256","7cd03b30cfeea07b5ea4c8976e6456cb65e09f6b8e7dcc68884379925681b1c4","Unsigned BLISTER Loader DLL",1,1640613801,"","BLISTER","","",""
"0936ecd0-3aaa-4ae2-a44f-b9127ecfe426",6232,"Payload delivery","sha256","81edf3a3b295b0189e54f79387e7df61250cc8eab4f1e8f42eb5042102df8f1f","Unsigned BLISTER Loader DLL",1,1640613801,"","BLISTER","","",""
"9dc51b1e-0545-40c1-b978-b90171d5f920",6232,"Payload delivery","sha256","44e5770751679f178f90ef7bd57e8e4ccfb6051767d8e906708c52184bf27f32","Unsigned BLISTER Loader DLL",1,1640613801,"","BLISTER","","",""
"2e0b3b1f-b86b-472b-a49b-6c783a7c5d67",6232,"Payload delivery","sha256","0a7778cf6f9a1bd894e89f282f2e40f9d6c9cd4b72be97328e681fe32a1b1a00","Unsigned BLISTER Loader DLL",1,1640613801,"","BLISTER","","",""
"33f702bf-3c99-4857-a971-b1e590af3cd0",6232,"Payload delivery","sha256","a486e836026e184f7d3f30eaa4308e2f0c381c070af1f525118a484a987827c1","Unsigned BLISTER Loader DLL",1,1640613801,"","BLISTER","","",""
"1d83585f-0e1a-45a0-a9a5-51b76b8b4af8",6232,"Payload delivery","sha256","359ffa33784cb357ddabc42be1dcb9854ddb113fd8d6caf3bf0391380f9d640a","Unsigned BLISTER Loader DLL",1,1640613801,"","BLISTER","","",""
"c785d272-a20c-49e3-964c-21121e146656",6232,"Payload delivery","sha256","863228efa55b54a8d03a87bb602a2e418856e0028ae409357454a6303b128224","Unsigned BLISTER Loader DLL",1,1640613801,"","BLISTER","","",""
"ea12dad8-63c4-48b6-b4ac-7b611e8d0392",6232,"Payload delivery","sha256","d0f934fd5d63a1524616bc13b51ce274539a8ead9b072e7f7fe1a14bb8b927a6","Unsigned BLISTER Loader DLL",1,1640613801,"","BLISTER","","",""
"d47a62a7-b8a4-4003-aaf0-42fad4a4ec09",6232,"Payload delivery","sha256","c0f3b27ae4f7db457a86a38244225cca35aa0960eb6a685ed350e99a36c32b61","Unsigned BLISTER Loader DLL",1,1640613801,"","BLISTER","","",""
"08a0bc9b-ba1a-490a-a219-9b2344157c1e",6232,"Payload delivery","sha256","216cb4f2caeaf59f297f72f7f271b084637e5087d59411ac77ddd3b87e7a90aa","Unsigned BLISTER Loader DLL",1,1640613801,"","BLISTER","","",""
"080a3eca-c672-48c0-864b-20bdad3b096d",6232,"Payload delivery","sha256","00eb2f75822abeb2e222d007bdec464bfbc3934b8be12983cc898b37c6ace081","Unsigned BLISTER Loader DLL",1,1640613801,"","BLISTER","","",""
"2e286e33-59ef-438d-b117-a2b7cff00a56",6232,"Payload delivery","sha256","25a0d6a839c4dc708dcdd1ef9395570cc86d54d4725b7daf56964017f66be3c1","Unsigned BLISTER Loader DLL",1,1640613801,"","BLISTER","","",""
"b1277808-d8d6-4375-a92d-6b95a4361e51",6232,"Payload delivery","sha256","3c7480998ade344b74e956f7d3a3f1a989aaf43446163a62f0a8ed34b0c010d0","Unsigned BLISTER Loader DLL",1,1640613801,"","BLISTER","","",""
"e26fe694-1d36-4e6f-b798-56cc2c766047",6232,"Payload delivery","sha256","5651e8a8e6f9c63c4c1162efadfcb4cdd9ad634c5e00a5ab03259fcdeaa225ac","Unsigned BLISTER Loader DLL",1,1640613801,"","BLISTER","","",""
"c2e5a79e-4636-4ce0-bd11-ead93f466374",6232,"Payload delivery","sha256","ba3a50930e7a144637faf88a98f2990a27532bfd20a93dc160eb2db4fbc17b58","Unsigned BLISTER Loader DLL",1,1640613801,"","BLISTER","","",""
"57fbf82d-4635-4357-a8d4-70fedf3e6e4e",6232,"Payload delivery","sha256","fa885e9ea1293552cb45a89e740426fa9c313225ff77ad1980dfea83b6c4a91c","Unsigned BLISTER Loader DLL",1,1640613801,"","BLISTER","","",""
"f4f984b9-2eb9-4ab1-8734-ce1c689f2178",6232,"Payload delivery","sha256","bee3210360c5d0939c5d38b7b9f0c232cf9fbf93b46a19e53930a1606bda28a5","Unsigned BLISTER Loader DLL",1,1640613801,"","BLISTER","","",""
"9d0c8177-321d-46d2-95b2-a227041e47ef",6232,"Payload delivery","sha256","56ca9ea3f7870561ed3c6387daf495404ed3827f212472501d2541d5ccf8b941","Unsigned BLISTER Loader DLL",1,1640613801,"","BLISTER","","",""
"b023f779-893e-42b3-a50f-ec6ddf1ad4d4",6232,"Payload delivery","sha256","c61d2ba1e001c137533cd7fb6b38fe71fee489d61dbcfea45c37c5ec1bcf845c","Unsigned BLISTER Loader DLL",1,1640613801,"","BLISTER","","",""
"5c245514-19c8-4d8b-b97b-0c45f9592fe3",6232,"Payload delivery","sha256","17ea84d547e97a030d2b02ac2eaa9763ffb4f96f6c54659533a23e17268aabab","Unsigned BLISTER Loader DLL",1,1640613801,"","BLISTER","","",""
