uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"735aa737-112f-4bfb-9cb9-eaca9e93cef6",6233,"Payload delivery","url","https://storage.googleapis.com/d03uhg49h1m5na.appspot.com/0/files/st/public/d/0390vfh478gj4.html?d=958418188474764759","URL for the ""Stolen Images Evidence"" page",1,1640621896,"","","","",""
"644ce5ff-5436-4b11-b370-0821a0bf8e83",6233,"Network activity","domain","maruadix.top","",1,1640621940,"","c2","","",""
"53e091aa-0588-4a78-b473-98351cdf8411",6233,"Network activity","domain","hdgravity.com","",1,1640622096,"","IcedID","","",""
"b559c052-f6e1-4c01-a1af-94cc7b4c09a0",6233,"Network activity","domain","asrspoe.com","",1,1640622096,"","IcedID","","",""
"9ba0cc73-a0a6-4e50-9b2a-329643c0089b",6233,"Network activity","ip-dst|port","88.119.161.88|8080","On port 8080",1,1640622096,"","DarkVNC","","",""
"0cf4cfa6-5ca9-427b-8139-206e1f39a6b9",6233,"Network activity","ip-dst","149.91.89.17","",1,1640622096,"","Cobalt Strike","","",""
"d50789e8-3d8e-401c-ab3d-76d257e0e16d",6233,"Network activity","hostname","api.musicbee.getlist.destinycraftpe.com","",1,1640622096,"","Cobalt Strike","","",""
"f9502d55-a2da-4802-98fe-3e392be6663d",6233,"Network activity","ip-dst","192.34.109.104","",1,1640622096,"","Cobalt Strike","","",""
"c61b5657-2a8c-4274-b02c-6edda40c3823",6233,"Network activity","domain","bqtconsulting.com","",1,1640622096,"","Cobalt Strike","","",""
"f69430ac-68e4-4530-b961-54e2e3bda2d5",6233,"Payload delivery","sha256","0e1fa8cc5697d60664e9bf5fb4ef6af14d63d7f31f0b1565e0ff0e7ce86af735","Stolen_Images_Evidence.iso",1,1640622416,"","IcedID","","",""
"a52bfbe5-0eae-47b0-9506-1e47974a607a",6233,"Payload delivery","sha256","5b2751fa6c0c93f8f625375a87c8f235d7b61eb9941633f59cf2ec18352f915a","Stolen_Images_Evidence.lnk",1,1640622416,"","IcedID","","",""
"be858649-d58a-4ad0-bdac-69e81a201a68",6233,"Payload delivery","sha256","c7d3cabf68151b9207d6262f3fd739f70f18a736a5a8d04479150f08448bd7bf","kf.js",1,1640622416,"","IcedID","","",""
"a0395dfe-0090-4258-95da-c63502b1f4cd",6233,"Payload delivery","sha256","b71f914f40d146462cafac5f360f816d59366be377268b33d0d4688917950223","data.dll",1,1640622416,"","IcedID","","",""
"d82ab9ba-e9e8-416b-b518-ac7c893edfd8",6233,"Payload delivery","sha256","0cc2afa847096e322c014f04f54b405902ce2613c555fb6b36fc4f93d53ba2a5","binary of gzip compressed data retrieved by IcedID installer DLL",1,1640622416,"","IcedID","","",""
"68990a09-e2f4-4388-9229-408448f6278f",6233,"Payload delivery","sha256","cfc202b44509f2f607d365858a8218dfdc6b26f8087efcc5e46f4fef9ab53705","data binary used to run persistent IcedID DLL",1,1640622416,"","IcedID","","",""
"d4b72a04-0c78-4c3b-82d2-db9f5728f80c",6233,"Payload delivery","sha256","4fbf01e80561ac1528b50e3a49b7b7bf8139decf62c3653672a545cfec7deee5","IcedID DLL persistent through scheduled task",1,1640622416,"","IcedID","","",""
"5717be16-4d55-455f-b592-8d04214a8819",6233,"Payload delivery","sha256","fba9dd0ebb8d838fa394cda10dca50450d8c0fc6158deff38904072140d64507","64-bit DLL for Cobalt Strike retrieved by IcedID-infected host",1,1640622416,"","Cobalt Strike","","",""
"f4c14e54-5270-4115-ae14-525ccd7c755b",6233,"Payload delivery","sha256","f9c4a119234df78e1ad71b10fb0bf18622fd5245b72b93e5b71992f20cb9fd2e","64-bit DLL for Cobalt Strike retrieved by IcedID-infected host",1,1640622416,"","Cobalt Strike","","",""

