category;type;value;comment;to_ids
Network activity;ip-dst;103.15.28.195;;1
Network activity;ip-dst;202.59.10.253;;1
Network activity;domain;mmtimes.net;;1
Network activity;domain;mmtimes.org;;1
Network activity;domain;7daydai1y.com;;1
Network activity;domain;irrawddy.com;;1
Network activity;domain;mopfi-ferd.com;;1
Payload delivery;filename;Version.dll;;0
Payload delivery;md5;0f8b7a64336b4315cc0a2e6171ab027e;;1
Payload delivery;sha1;2d0296ac56db3298163bf3f6b622fdc319a9be23;;1
Payload delivery;sha256;59b8167afba63b9b4fa4369e6664f274c4e2760a4e2ae4ee12d43c07c9655e0f;;1
Payload delivery;md5;37054e2e8699b0bdb0e19be8988093cd;;1
Payload delivery;sha1;5e45e6e113a52ba420a35c15fbaa7856acc03ab4;;1
Payload delivery;sha256;a934ae0274dc1fc9763f7aa51c3a2ce1a52270a47dcdd80bd5b9afbc3a23c82b;;1
Payload delivery;md5;c05cdf3a29d6fbe4e3e8621ae3173f08;;1
Payload delivery;sha1;75cd21217264c3163c800e3e59af3d7db14d76f8;;1
Payload delivery;sha256;869e7da2357c673dab14e9a64fb69691002af5b39368e6d1a3d7fda242797622;;1
Payload delivery;md5;5ba1384b4edfe7a93d6f1166da05ff6f;;1
Payload delivery;sha1;6d18970811821125fd402cfa90210044424e223a;;1
Payload delivery;sha256;857c676102ea5dda05899d4e386340f6e7517be2d2623437582acbe0d46b19d2;;1
Payload delivery;md5;afb777236f1e089c9e1d33fce46a704c;;1
Payload delivery;sha1;cf3582a6cdac3e254c017c8ce36240130d67834a;;1
Payload delivery;sha256;1ec88831b67e3f0d41057ba38ccca707cb508fe63d39116a02b7080384ed0303;;1
Payload delivery;filename;wwlib.dll;;0
Payload delivery;md5;4fbc4835746a9c64f8d697659bfe8554;;1
Payload delivery;sha1;b43d7317d3144c760d82c4c7506eba1143821ac1;;1
Payload delivery;sha256;95bcc8c3d9d23289b4ff284cb685b741fe92949be35c69c1faa3a3846f1ab947;;1
Payload delivery;md5;b31008f6490ffe7ba7a8edb9e9a8c137;;1
Payload delivery;sha1;c1945fd976836ba2f3fbeafa276f60c3f0e9a51c;;1
Payload delivery;sha256;4a4b976991112b47b6a3d6ce19cc1c4f89984635ed16aea9f88275805b005461;;1
Payload delivery;filename;FmtOptions.dll;;0
Payload delivery;md5;ac29cb9c702d9359ade1b8a5571dce7d;;1
Payload delivery;sha1;577ad54e965f7a21ba63ca4a361a3de86f02e925;;1
Payload delivery;sha256;d8de88e518460ee7ffdffaa4599ccc415e105fc318b36bc8fe998300ee5ad984;;1
Payload delivery;filename;yerodns.dll;;0
Payload delivery;md5;afe30b5dd18a114a9372b5133768151c;;1
Payload delivery;sha1;9a6f97300017a09eb4ea70317c65a18ea9ac49bd;;1
Payload delivery;sha256;cf757b243133feab2714bc0da534ba21cbcdde485fbda3d39fb20db3a6aa6dee;;1
Payload delivery;filename;mcutil.dll;;0
Payload delivery;md5;95991f445d846455b58d203dac530b0b;;1
Payload delivery;sha1;cee6afa1c0c8183900b76c785d2989bd1a904ffb;;1
Payload delivery;sha256;f27715b932fb83d44357dc7793470b28f6802c2dc47076e1bc539553a8bfa8e0;;1
Payload delivery;md5;c727a8fc56cedc69f0cfd2f2f5796797;;1
Payload delivery;sha1;75d38bf8b0053d52bd5068adf078545ccdac563f;;1
Payload delivery;sha256;361ccc35f7ff405eb904910de126a5775de831b4229a4fdebfbacdd941ad3c56;;1
Payload delivery;filename;ZoomVideoApp.exe;;0
Network activity;domain;updatecatalogs.com;;1
