category;type;value;comment;to_ids
Network activity;domain;getstatpro.com;SkinnyBoy C2;1
Network activity;domain;updaterweb.com;SkinnyBoy C2;1
Network activity;url;https://updaterweb.com/;SkinnyBoy C2;1
Network activity;ip-dst;194.33.40.72;SkinnyBoy C2;1
Network activity;ip-dst;5.149.253.45;SkinnyBoy C2;0
External analysis;filename;2021-05_FancyBear.pdf|b390e724491b4366dc99b369ada9a1ec;;1
Other;text;"This paper presents an analysis of a new and never publicly reported malware internally dubbed as ""SkinnyBoy"". Based on long-term observations and technical evidences, Cluster25 cyber intelligence research team associates this implant, with a medium-high degree of confidence, with the threat actor known as APT 28 / Fancy Bear / Pawn Storm.";;0
External analysis;link;https://cluster25.io/wp-content/uploads/2021/05/2021-05_FancyBear.pdf;;0
Payload delivery;md5;fa4b1efd428bbf47f9c8395ca91eff25;;1
Payload delivery;sha256;ae0bc3358fef0ca2a103e694aa556f55a3fed4e98ba57d16f5ae7ad4ad583698;;1
Payload delivery;sha1;e15c665f02fb288fc4bdef9d23b2dc802b3aca0d;;1
Payload delivery;filename;TermSrvClt.dll;;1
Other;text;A Variant Of Win32/Agent.ADBC;;0
Other;datetime;2021-04-06T09:43:16.000000+0000;;0
Other;text;Malicious;;0
Payload delivery;ssdeep;1536:jJJyYcrCepXTf3ir4tecD1xssWjcd6yoL:jJIYeCeQr4tvD6y;;1
Payload delivery;md5;3537ed6d4038ca7dbc054308c40fc3e3;;1
Payload delivery;sha256;2a652721243f29e82bdf57b565208c59937bbb6af4ab51e7b6ba7ed270ea6bce;;1
Payload delivery;sha1;a13cb50e2405440ec984dd3fc340bceea4a81cfc;;1
Other;text;A Variant Of Win32/Agent.ADBC;;0
Payload delivery;filename;devtmrn.exe;;1
Other;datetime;2021-04-06T09:43:15.000000+0000;;0
Other;text;Malicious;;0
Payload delivery;ssdeep;768:eLaBqlFvvAsT37nCn/sphM9y471T/sUZV0+NKGcTWFFq+NsWjcdulm/7mk2Vxg:FQ1dTr29f24yAcTqbsWjcduOKJxg;;1
Payload delivery;md5;ae1e587d19250deb40e92587b8a2188c;;1
Payload delivery;sha256;12331809c3e03d84498f428a37a28cf6cbb1dafe98c36463593ad12898c588c9;;1
Payload delivery;sha1;efa4fa5ddee99853c32b321496f9369f2db119eb;;1
Other;text;A Variant Of Win32/Agent.ADBC;;0
Other;datetime;2021-04-06T09:43:14.000000+0000;;0
Other;text;Malicious;;0
Payload delivery;ssdeep;6144:rnADuj/0EwNs5WgWT7SlssjlPQkL13DFgXQ:rnAajclsbj/LR;;1
Payload delivery;md5;4f3ac4c7b5932f11662d4d22fa5d88ec;;1
Payload delivery;sha256;04e1772997b884540d5728a2069c3cc93b8f29478e306d341120f789ea8ec79e;;1
Payload delivery;sha1;45d607109d1a12a279664eec8f4bd604287b62c7;;1
Other;text;Trojan.LNK.SKINNYBOY.A;;0
Payload delivery;filename;devtmrn.lnk;;1
Other;datetime;2021-04-26T16:28:22.000000+0000;;0
Other;text;Harmless;;0
Payload delivery;ssdeep;12:8mIc6R4cxCrYXSWwudRaF4RS9uiGUlf2tn1koRS/PQ1mNwuG7+lbYLyho8Wndn+:8mIvekETURadNn2Fc4k8ab1;;1
Network activity;AS;206698;194.33.40.72: Enriched via the shodan module;0
Other;text;Chisinau;194.33.40.72: Enriched via the shodan module;0
Other;text;MD;194.33.40.72: Enriched via the shodan module;0
Other;text;Moldova, Republic of;194.33.40.72: Enriched via the shodan module;0
Other;text;Inovare-Prim SRL;194.33.40.72: Enriched via the shodan module;0
Other;float;4.700.556;194.33.40.72: Enriched via the shodan module;0
Other;float;288.575;194.33.40.72: Enriched via the shodan module;0
Other;text;Inovare-Prim SRL;194.33.40.72: Enriched via the shodan module;0
Other;text;57;194.33.40.72: Enriched via the shodan module;0
Network activity;ip-dst;194.33.40.72;194.33.40.72: Enriched via the shodan module;1
External analysis;link;https://www.welivesecurity.com/2021/06/09/gelsemium-when-threat-actors-go-gardening/;;0
Payload installation;md5;90b94525f53fac3ead8e6a5487371553;Gelsevirine;1
Payload installation;sha1;029407c923c279803c6d7cbc7673936bca2e580c;Gelsevirine;1
Payload installation;sha256;70188c4baa02dee02153e44bc5cb966a263d5f0e4e0d2c3935b9cd010f2e01da;Gelsevirine;1
Payload installation;md5;cd5da0b66319efbe346a4ac98df2f6d0;Gelsenicine;1
Payload installation;sha1;0471e1a214f458d4c478677ec9896b0f31207377;Gelsenicine;1
Payload installation;sha256;46338cae732ee1664aac77d9dce57c4ff8666460c1a51bee49cae44c86e42df9;Gelsenicine;1
Payload installation;md5;1b6868f8c412e1e6efc4d7149173c5a9;Gelsemine;1
Payload installation;sha1;055f1e13e0fea44dc42e8cd8c9219ed588360304;Gelsemine;1
Payload installation;sha256;29e78ca3cb49dd2985a29e74cafb1a0a15515670da0f4881f6095fb2926bfefd;Gelsemine;1
Payload installation;md5;97d46525797ffa7530851481eb96dd47;Gelsemine;1
Payload installation;sha1;0cedfb1789ef139b6040cf8d84ba130360c4eb7d;Gelsemine;1
Payload installation;sha256;552388d74478a84b8e64e3ee2316331740a0d060f322e92b5c608ea745adba90;Gelsemine;1
Payload installation;md5;d1a505f2a335a8aa05d3b74358157ff3;Gelsemine;1
Payload installation;sha1;1042c798d7ff69eb52cbeae684c74fc0ee84aacd;Gelsemine;1
