category;type;value;comment;object_relation;attribute_tag
Network activity;domain;checkauj.com;Cobalt Strike C2;;Cobalt Strike,kill-chain:Command and Control
Network activity;ip-dst|port;82.117.252.143|443;Cobalt Strike C2;;Cobalt Strike,kill-chain:Command and Control
Network activity;ip-dst|port;82.117.252.143|80;Cobalt Strike C2;;Cobalt Strike,kill-chain:Command and Control
Network activity;ip-dst|port;64.227.69.92|443;;;Bazar,kill-chain:Command and Control
Network activity;ip-dst|port;161.35.155.92|443;;;Bazar,kill-chain:Command and Control
Network activity;ip-dst|port;161.35.147.110|443;;;Bazar,kill-chain:Command and Control
Network activity;ip-dst|port;64.227.65.60|443;;;Bazar,kill-chain:Command and Control
Network activity;domain;volga.azureedge.net;;;Cobalt Strike,kill-chain:Command and Control
Network activity;domain;millscruelg.com;loader download for Bazaloader DLL;;kill-chain:Delivery
Network activity;domain;five.azureedge.net;;;Cobalt Strike,kill-chain:Command and Control
Network activity;ip-dst|port;45.95.11.133|80;loader download for Bazaloader DLL;;kill-chain:Delivery
Payload delivery;md5;f6f72e3d91f7b53dd75e347889a793da;;md5;
Payload delivery;sha1;5d4f020115a483e9e5aa9778c038466f9014c90c;;sha1;
Payload delivery;sha256;14bccfecaaec8353e3e8f090ec1d3e9c87eb8ceb2a7abedfc47c3c980da8ad71;;sha256;
Artifacts dropped;md5;193b84d45dd371c6e4a501333d37349b;;md5;
Artifacts dropped;sha1;742ed8d0202aafba1c162537087a8a131cb85cde;;sha1;
Artifacts dropped;sha256;fb38061bf601001c45aafe8d0c5feaa22c607d2ff79cfb841788519ca55a17b4;;sha256;
Artifacts dropped;md5;4ba6791f2293a8bc2dfa537015829b3c;;md5;
Artifacts dropped;sha1;d4f5cc55b6fa25f9a45ba7e968438b97e33aefbc;;sha1;
Artifacts dropped;sha256;4a49cf7539f9fd5cc066dc493bf16598a38a75f7b656224db1ddd33005ad76f6;;sha256;
Artifacts dropped;md5;663c8d0fe8b770b50792d10f6c07a652;;md5;
Artifacts dropped;sha1;d0361fbcebe59205b2ea6a31041c89464a5e61b6;;sha1;
Artifacts dropped;sha256;1872bf6c974e9b11040851f7d30e5326afdc8b13802891c222af4368a14f829c;;sha256;
Artifacts dropped;md5;ab3a744545a12ba2f6789e94b789666a;;md5;
Artifacts dropped;sha1;1d5f8d283ed3f6019954aa480182c9913ee49735;;sha1;
Artifacts dropped;sha256;6f844a6e903aa8e305e88ac0f60328c184f71a4bfbe93124981d6a4308b14610;;sha256;
Artifacts dropped;md5;84361813423910294079d0bc5b6daba2;;md5;
Artifacts dropped;sha1;c0b28fd2d5b62d5129225e8c45d368bc9e9fd415;;sha1;
Artifacts dropped;sha256;1edfae602f195d53b63707fe117e9c47e1925722533be43909a5d594e1ef63d3;;sha256;
Artifacts dropped;md5;7f112bfa16a6bd344aaed28abf606780;;md5;
Artifacts dropped;sha1;eaa792a1c9f1d277af3d88bd9ea17a33275308f3;;sha1;
Artifacts dropped;sha256;9cd3c0cff6f3ecb31c7d6bc531395ccfd374bcd257c3c463ac528703ae2b0219;;sha256;
Artifacts dropped;md5;2c313c5b532c905eb8f1748a0d656ff9;;md5;
Artifacts dropped;sha1;70725329e4c14b39d49db349f3c84e055c111f2d;;sha1;
Artifacts dropped;sha256;31656dcea4da01879e80dff59a1af60ca09c951fe5fc7e291be611c4eadd932a;;sha256;
Artifacts dropped;md5;26bd89afd5c1ba9803422d33185cef89;;md5;
Artifacts dropped;sha1;c99f0fa8d5fbffe5288aaff84dbe980c412ba34e;;sha1;
Artifacts dropped;sha256;01a9549c015cfcbff4a830cea7df6386dc5474fd433f15a6944b834551a2b4c9;;sha256;
External analysis;md5;5840aa36b70b7c03c25e5e1266c5835b;;md5;
External analysis;sha1;ea031940b2120551a6abbe125eb0536b9e4f14c8;;sha1;
External analysis;sha256;09d7fcbf95e66b242ff5d7bc76e4d2c912462c8c344cb2b90070a38d27aaef53;;sha256;
