uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"ea48d4e3-0c6b-4fc2-8a7e-700dda8c8df0",5084,"Network activity","domain","app.tstartel.org","",1,1633092330,"","","","",""
"f596486d-7c41-4687-8966-f7ae77ea0899",5084,"Network activity","domain","app.centralgoogle.com","",1,1633092330,"","","","",""
"a9b64013-4c69-48f9-b4f9-ba43336cd0b8",5084,"Payload delivery","md5","02da966d81c83867dbba69fba2954366","",1,1633092330,"","","","",""
"077304bd-0995-4ed8-b073-03d94c538d74",5084,"Payload delivery","md5","1a7f1012ea071e1b9955e502fab3023c","",1,1633092330,"","","","",""
"9ebe9a99-c391-4c22-b512-0c322a4aca91",5084,"Payload delivery","md5","206e15f750f7fee32b110f5c79cf068b","",1,1633092331,"","","","",""
"190cd032-676f-4d65-bc1c-202ea483ee02",5084,"Payload delivery","md5","23f06ae1f9c78d2dc8f8d8b3cb3c5978","",1,1633092331,"","","","",""
"6085d315-3038-4638-ac9e-c67c1f336cf5",5084,"Payload delivery","md5","371a13ca89bf3b01346a8f7631a9be75","",1,1633092331,"","","","",""
"15caf042-a735-4509-af19-a496dbd77d12",5084,"Payload delivery","md5","41cfb3db9837377e7f3a4a18d5b444e1","",1,1633092331,"","","","",""
"5d35d73c-f5d7-4d88-8b8e-0703111891a5",5084,"Payload delivery","md5","42f1215a4d6261c2d5ee28eecb60bc1c","",1,1633092331,"","","","",""
"af05cacb-d045-4161-b840-47ee43523cd1",5084,"Payload delivery","md5","4cb26fd5ca9bc238803e0971914039e2","",1,1633092331,"","","","",""
"34523f41-fbd8-4950-9253-cc2a876a5177",5084,"Payload delivery","md5","4e49adfed966f5d54cd1b89e1acb18ef","",1,1633092331,"","","","",""
"497af837-deb8-4f5b-8151-bb64de41ef35",5084,"Payload delivery","md5","57eb643949a9a0fcd20dfe59af02c8d2","",1,1633092331,"","","","",""
"089eb9b7-577f-4d48-9eac-92dcfde6bff4",5084,"Payload delivery","md5","5d09c85b349d457471b18b598bb63e5d","",1,1633092331,"","","","",""
"e9e1da99-f154-4bc1-ad8a-cee838e56042",5084,"Payload delivery","md5","5fb9ea9b063548193bbebc3f8f2b193c","",1,1633092331,"","","","",""
"55b5d3cb-f6af-48ad-934c-a47c87fba97f",5084,"Payload delivery","md5","6164f85c6273ea1bf7e2f051ceaacf31","",1,1633092331,"","","","",""
"c2fa123d-bc63-4d9f-8929-ff9edf9c3d4e",5084,"Payload delivery","md5","6a3c69384237078b6ab03ab7c38970ca","",1,1633092331,"","","","",""
"9abe7514-ab50-41e9-9f53-31d7d1c36f0c",5084,"Payload delivery","md5","6dace1bf8d7d3b8b1d21a5a32217406d","",1,1633092331,"","","","",""
"6fd6d8a8-adc0-4e6f-9b12-22afe62bde5d",5084,"Payload delivery","md5","81ab2303c56b563c106ec0f454b5da83","",1,1633092331,"","","","",""
"30faba6a-f98f-441c-8e35-3a8e167b12a7",5084,"Payload delivery","md5","8550e586e7ae73863de0c5a6c11c5dc1","",1,1633092331,"","","","",""
"005c3397-e74f-4776-bd17-f48615fe613a",5084,"Payload delivery","md5","8b8dc2f6fcb503092d57ec1857ddbddc","",1,1633092331,"","","","",""
"4b32cbf7-04b0-4ffb-92bd-9fe04e1b5e88",5084,"Payload delivery","md5","8dee79145aac1e5ffcd801ef07390fde","",1,1633092331,"","","","",""
"1a283fa8-131e-468d-943b-e12f68bf7aa6",5084,"Payload delivery","md5","905aa9b9055592b585edb89eda236984","",1,1633092331,"","","","",""
"a70ec4f3-baf9-46f7-803e-52b24e21b00b",5084,"Payload delivery","md5","90cc1835823d5f86cd1947b03e6111a9","",1,1633092331,"","","","",""
"5881a15c-b964-4211-9ef6-03f0d34c1527",5084,"Payload delivery","md5","9c519480c8dd187222e32711a59c4d3c","",1,1633092331,"","","","",""
"dd8e50b7-f0a8-48ff-b14e-4e8524e473a9",5084,"Payload delivery","md5","b701f60803dc1e240cae8e48cb9582ef","",1,1633092331,"","","","",""
"1a86e438-ab8f-457b-8dcc-0d23ce172f77",5084,"Payload delivery","md5","c18d3128042528e4a1ea9e34a9300bad","",1,1633092331,"","","","",""
"d710a306-8538-4e00-b78d-4a71830e6f82",5084,"Payload delivery","md5","cab9ecc235a0fe544e01dd6b30463f11","",1,1633092331,"","","","",""
"e77c4812-d469-4f2e-8b43-b472358a2a27",5084,"Payload delivery","md5","cd4750c84f1a89f0db6c3d68a6530ad6","",1,1633092331,"","","","",""
"8495a013-4505-4bdf-9797-6b0b41b4f073",5084,"Payload delivery","md5","cf0cc54e91b59ccafdc36a8f4b04f9c6","",1,1633092331,"","","","",""
"96b6ed6a-b83e-46b9-ac90-4c39a953ee50",5084,"Payload delivery","md5","d19e9d9c648faeb92fd69b5bbf2e0c6e","",1,1633092331,"","","","",""
"3da6ba34-59fe-4020-a4a4-645237a1bb40",5084,"Payload delivery","md5","d3888adb6b71cb60e18c37ea16dbd502","",1,1633092331,"","","","",""
"f6ecccf3-6b56-433b-94c1-d0fdfe902224",5084,"Payload delivery","md5","e4f785396fc10f0c200e0743cf75666c","",1,1633092331,"","","","",""
"6eea32ff-16df-4843-b1c3-ad474caff2cc",5084,"Payload delivery","md5","ea7d091e2d565f452b4735bc9ee966e6","",1,1633092331,"","","","",""
