uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"3b9c9e7b-0ec6-472b-98c0-f9175a53982e",5356,"Network activity","ip-dst","37.120.222.100","",1,1635166748,"","","","",""
"73a07331-b83e-4f52-a968-cbbf298c61ae",5356,"Network activity","ip-dst","176.97.64.194","",1,1635166748,"","","","",""
"98d50c6d-4ebb-43b8-9e81-d67f19da406c",5356,"Network activity","domain","calseled.bond","",1,1635166748,"","","","",""
"15ca169e-dcd1-4689-a67b-3a5fe3080f2e",5356,"Network activity","domain","riderskop.top","",1,1635166748,"","","","",""
"d1b84f20-12f9-4812-aa6f-2de83d8fbd63",5356,"Network activity","domain","feedbackfileweb.club","",1,1635166748,"","","","",""
"1c64c16a-ae9e-42a7-b4eb-ab0697f3e0b3",5356,"Network activity","ip-dst","5.61.46.161","",1,1635166748,"","","","",""
"4f60cceb-496d-4a59-899b-5b6c102b49f3",5356,"Network activity","domain","gsterangsic.buzz","",1,1635166748,"","","","",""
"b76c4214-8a95-489e-a2f1-233f98894bc4",5356,"Network activity","ip-dst","146.70.24.133","",1,1635166748,"","","","",""
"243ee542-33e8-44d6-95a4-e169af1aadbc",5356,"Network activity","domain","croperdate.com","",1,1635166748,"","","","",""
"a6849177-1851-4543-9d5b-1a4c1e316155",5356,"Network activity","ip-dst","146.70.24.186","",1,1635166748,"","","","",""
"b330f774-5677-46c9-bf0e-8a4a96c1e7cf",5356,"Network activity","domain","kaslose.com","",1,1635166748,"","","","",""
"b2a29bcd-f220-43fb-bdca-e7ce7d992547",5356,"Network activity","ip-dst","134.195.90.187","",1,1635166748,"","","","",""
"d4b55da5-e73d-4baa-b025-3da41ce2d78c",5356,"Network activity","domain","cdnsharepoi.xyz","",1,1635166748,"","","","",""
"01945c64-a76d-43ea-9c57-dab9e87f7e66",5356,"Network activity","domain","cdngithub.xyz","",1,1635166748,"","","","",""
"77909c77-fe2c-47da-afd3-522e39549796",5356,"Network activity","domain","cdnwindow.xyz","",1,1635166748,"","","","",""
"0f6895ab-c9bc-4daa-9798-62d9c62ac992",5356,"Network activity","domain","cdnchrome.xyz","",1,1635166748,"","","","",""
"2086f7b1-f7d0-4dee-ab27-1fb93776ab06",5356,"Network activity","domain","cdnwin.xyz","",1,1635166748,"","","","",""
"4ce88b2d-9b73-4415-929b-0469380fc636",5356,"Network activity","ip-dst","134.195.90.186","",1,1635166748,"","","","",""
"ae5779d4-fe06-4766-b23d-217628032870",5356,"Network activity","ip-dst","134.195.90.185","",1,1635166748,"","","","",""
"ba908cd0-2483-4952-9a02-a0b1450ba9bd",5356,"Payload delivery","sha1","a07655b9020205bd47084afd62a8bb22b48c0cdc","",1,1635166126,"sha1","","8c1c87a4-e67d-487b-a183-1c12722c8023","file","file"
"3635dcfd-744f-4720-bed0-afa34ff41b7f",5356,"Payload delivery","md5","348cae913e496198548854f5ff2f6d1e","",1,1635166126,"md5","","8c1c87a4-e67d-487b-a183-1c12722c8023","file","file"
"317e157f-dfe9-47ad-8b38-6ee79b1775b0",5356,"Payload delivery","sha256","c80128f51871eec3ae2057989a025ce244277c1c180498a5aaef45d5214b8506","",1,1635166126,"sha256","","8c1c87a4-e67d-487b-a183-1c12722c8023","file","file"
