uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
c1334bbb-e588-4bd2-8fba-0a1cdb3400bd,4818,"Payload delivery","md5","3db3e55b16a7b1b1afb970d5e77c5d98","",1,1631702793,"","","","",""
506c950f-d9df-40cc-92f5-08b5a2ea69b6,4818,"Payload delivery","md5","4baec501cd3c6318c8bceb4cf5c8b394","",1,1631702793,"","","","",""
4ae1d5f6-ac6d-4b67-b122-97a793f05802,4818,"Payload delivery","sha1","061be77716ad6e2d3117683dfd2add9934aada9a","",1,1631702793,"","","","",""
c144987c-5f20-4b0e-a158-297faed1628a,4818,"Payload delivery","sha1","bb44696c170e09b7708936ca3597002e3b8d93ff","",1,1631702793,"","","","",""
ef53d0a1-8559-4472-8c33-7f310b4abf18,4818,"Network activity","domain","amazon.hksupd.com","",1,1631703271,"domain","","5e7d6cd0-92e1-43a1-bf21-e732f49a71ba","domain-ip","network"
9eb09d17-5765-4dbe-88c4-d93774bf0574,4818,"Network activity","domain","update.microsofthk.com","",1,1631703271,"domain","","5e7d6cd0-92e1-43a1-bf21-e732f49a71ba","domain-ip","network"
3d2d1ceb-f1d3-42f9-8ae3-5931074e2660,4818,"Network activity","domain","update.microsoftkernel.com","",1,1631703271,"domain","","5e7d6cd0-92e1-43a1-bf21-e732f49a71ba","domain-ip","network"
34bd0d97-7a53-45bb-adc8-aa20cf7e7b04,4818,"Network activity","ip-dst","160.202.163.100","",1,1631703271,"ip","","5e7d6cd0-92e1-43a1-bf21-e732f49a71ba","domain-ip","network"
5f575b52-4707-439c-8fab-6f1bca67d06d,4818,"Payload delivery","sha256","07b815cee2b85a41820cd8157a68f35aa1ed0aa5f4093b8cb79a1d645a16273f","",1,1631703309,"SHA256","","8c2482d5-8b67-47e6-9c48-c57d6c6be440","trustar_report","network"
dbbef84b-5840-4b8b-b2f6-6886a8089fc1,4818,"Payload delivery","sha256","7129434afc1fec276525acfeee5bb08923ccd9b32269638a54c7b452f5493492","",1,1631703309,"SHA256","","8c2482d5-8b67-47e6-9c48-c57d6c6be440","trustar_report","network"
9dcff2db-d826-43e8-9801-fab878b8afdc,4818,"Payload delivery","sha256","c49631db0b2e41125ccade68a0fe7fb70939315f1c580510e40e5b30ead868f5","",1,1631703309,"SHA256","","8c2482d5-8b67-47e6-9c48-c57d6c6be440","trustar_report","network"
73b17ce7-d4b6-4007-981f-8c8e2cd20dd3,4818,"Payload delivery","sha256","e40370f463b4a4feb2d515a3fb64af1573523f03917b2fd9e7a9d0a741ef89a5","",1,1631703309,"SHA256","","8c2482d5-8b67-47e6-9c48-c57d6c6be440","trustar_report","network"
83e74faf-e9ad-4678-b2e4-7c0aec99792e,4818,"Payload delivery","sha256","3ad119d4f2f1d8ce3851181120a292f41189e4417ad20a6c86b6f45f6a9fbcfc","",1,1631703341,"sha256","","194f6ae5-57b1-4d4d-8232-6ab187c162c5","file","file"
de72a021-d19d-4385-8c18-547960aec661,4818,"Payload delivery","sha256","294b8db1f2702b60fb2e42fdc50c2cee6a5046112da9a5703a548a4fa50477bc","",1,1631703356,"sha256","","c2bfbf34-b649-40a6-9cdb-2a7a4921d727","file","file"
