uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
00e83a7f-1d87-4423-b0f6-2ab794f95d22,5851,"Network activity","domain","checkauj.com","Cobalt Strike C2",1,1628353151,"","Cobalt Strike,kill-chain:Command and Control","","",""
f97babca-594f-40c3-bbd6-3a3c6578bdd3,5851,"Network activity","ip-dst|port","82.117.252.143|443","Cobalt Strike C2",1,1628353151,"","Cobalt Strike,kill-chain:Command and Control","","",""
426f5c40-3b4b-49b0-ac51-64141dbc6fd2,5851,"Network activity","ip-dst|port","82.117.252.143|80","Cobalt Strike C2",1,1628353151,"","Cobalt Strike,kill-chain:Command and Control","","",""
a7f8cd7c-accc-4a41-939f-1c23ce0019c7,5851,"Network activity","ip-dst|port","64.227.69.92|443","",1,1638144524,"","Bazar,kill-chain:Command and Control","","",""
79466e63-c2e2-4cc3-908e-8234109b21ea,5851,"Network activity","ip-dst|port","161.35.155.92|443","",1,1638144524,"","Bazar,kill-chain:Command and Control","","",""
ea681329-073e-48bb-950b-90b1577970c3,5851,"Network activity","ip-dst|port","161.35.147.110|443","",1,1638144524,"","Bazar,kill-chain:Command and Control","","",""
6bcec216-7809-4d42-805b-9edbe6fbe77e,5851,"Network activity","ip-dst|port","64.227.65.60|443","",1,1638144524,"","Bazar,kill-chain:Command and Control","","",""
89d42a55-4186-4975-bf14-db01661708a9,5851,"Network activity","domain","volga.azureedge.net","",1,1638144645,"","Cobalt Strike,kill-chain:Command and Control","","",""
445739de-2506-4412-9b8b-da8500a6bd3e,5851,"Network activity","domain","millscruelg.com","loader download for Bazaloader DLL",1,1638144678,"","kill-chain:Delivery","","",""
f240fb08-f2c3-46ff-83ff-0b2c955a6a4f,5851,"Network activity","domain","five.azureedge.net","",1,1638144645,"","Cobalt Strike,kill-chain:Command and Control","","",""
a7a8364d-b2d3-4d74-9579-08b6a89a30bb,5851,"Network activity","ip-dst|port","45.95.11.133|80","loader download for Bazaloader DLL",1,1638144824,"","kill-chain:Delivery","","",""
5d03e59e-0ba3-40c0-889c-e286cc570ab9,5851,"Payload delivery","md5","f6f72e3d91f7b53dd75e347889a793da","",1,1628341895,"md5","","73d9ef9c-c4ea-439a-a916-45b99eb6fd34","file","file"
72b9c768-3a2d-45c6-bb2b-1453856c2fe5,5851,"Payload delivery","sha1","5d4f020115a483e9e5aa9778c038466f9014c90c","",1,1628341895,"sha1","","73d9ef9c-c4ea-439a-a916-45b99eb6fd34","file","file"
8b372823-e6b5-4338-838b-54826c169235,5851,"Payload delivery","sha256","14bccfecaaec8353e3e8f090ec1d3e9c87eb8ceb2a7abedfc47c3c980da8ad71","",1,1628341895,"sha256","","73d9ef9c-c4ea-439a-a916-45b99eb6fd34","file","file"
9ee6fd9c-318c-4c70-979a-f03bd8dddc7e,5851,"Artifacts dropped","md5","193b84d45dd371c6e4a501333d37349b","",1,1628341946,"md5","","7c20e96e-c18c-4616-a03e-c6ff9e0134a1","file","file"
2a12eadd-0943-4bbe-ad51-e32ff4738333,5851,"Artifacts dropped","sha1","742ed8d0202aafba1c162537087a8a131cb85cde","",1,1628341946,"sha1","","7c20e96e-c18c-4616-a03e-c6ff9e0134a1","file","file"
cb722ff1-3376-4fed-a48e-3865e3e9a663,5851,"Artifacts dropped","sha256","fb38061bf601001c45aafe8d0c5feaa22c607d2ff79cfb841788519ca55a17b4","",1,1628341946,"sha256","","7c20e96e-c18c-4616-a03e-c6ff9e0134a1","file","file"
103cecb1-0b89-44cb-9a44-706e9235cef1,5851,"Artifacts dropped","md5","4ba6791f2293a8bc2dfa537015829b3c","",1,1628341963,"md5","","83280f64-1fc9-48b6-b0f7-ffb115e86ccb","file","file"
892b5eb7-1da6-4e03-ac79-40e32b7f2471,5851,"Artifacts dropped","sha1","d4f5cc55b6fa25f9a45ba7e968438b97e33aefbc","",1,1628341963,"sha1","","83280f64-1fc9-48b6-b0f7-ffb115e86ccb","file","file"
bdb10f65-0755-453e-a431-433b52f70caf,5851,"Artifacts dropped","sha256","4a49cf7539f9fd5cc066dc493bf16598a38a75f7b656224db1ddd33005ad76f6","",1,1628341963,"sha256","","83280f64-1fc9-48b6-b0f7-ffb115e86ccb","file","file"
6ef76238-314e-4924-a3f3-7e3934c7673d,5851,"Artifacts dropped","md5","663c8d0fe8b770b50792d10f6c07a652","",1,1628341984,"md5","","39dfdcad-3ab3-4bfa-b7e9-7f6cebe3aa98","file","file"
30b080a4-cf5a-468e-a71c-30d4f08f36ad,5851,"Artifacts dropped","sha1","d0361fbcebe59205b2ea6a31041c89464a5e61b6","",1,1628341984,"sha1","","39dfdcad-3ab3-4bfa-b7e9-7f6cebe3aa98","file","file"
996d8c42-c1a6-4439-b903-2c647994e366,5851,"Artifacts dropped","sha256","1872bf6c974e9b11040851f7d30e5326afdc8b13802891c222af4368a14f829c","",1,1628341984,"sha256","","39dfdcad-3ab3-4bfa-b7e9-7f6cebe3aa98","file","file"
332677d0-3e1a-4181-8e49-ecbed2033a92,5851,"Artifacts dropped","md5","ab3a744545a12ba2f6789e94b789666a","",1,1628342015,"md5","","ca4e56f4-caee-4882-bb5e-6ab3df204a31","file","file"
45e26abd-b7a7-461a-818f-3eb7827c110b,5851,"Artifacts dropped","sha1","1d5f8d283ed3f6019954aa480182c9913ee49735","",1,1628342015,"sha1","","ca4e56f4-caee-4882-bb5e-6ab3df204a31","file","file"
