category,type,value,comment,to_ids
Network activity,hostname,zero.sudolite.ml,Download site,1
Network activity,ip-dst,176.65.137.5,C2,1
Network activity,ip-dst|port,176.65.137.5|1401,On port 1401,1
Network activity,ip-dst,176.65.137.6,C2,1
Network activity,url,ws://176.65.137.5/handle,C2,1
Network activity,url,http://176.65.137.5:8000/ws,C2,1
Payload delivery,sha256,aed95a8f5822e9b1cd1239abbad29d3c202567afafcf00f85a65df4a365bedbb,Zerobot,1
Payload delivery,sha256,bf582b5d470106521a8e7167a5732f7e3a4330d604de969eb8461cbbbbdd9b9a,Zerobot,1
Payload delivery,sha256,0a5eebf19ccfe92a2216c492d6929f9cac72ef37089390572d4e21d0932972c8,Zerobot,1
Payload delivery,sha256,1e7ca210ff7bedeefadb15a9ec5ea68ad9022d0c6f41c4e548ec2e5927026ba4,Zerobot,1
Payload delivery,sha256,05b7517cb05fe1124dd0fad4e85ddf0fe65766a4c6c9986806ae98a427544e9d,Zerobot,1
Payload delivery,sha256,5625d41f239e2827eb05bfafde267109549894f0523452f7a306b53b90e847f2,Zerobot,1
Payload delivery,sha256,c304a9156a032fd451bff49d75b0e9334895604549ab6efaab046c5c6461c8b3,Zerobot,1
Payload delivery,sha256,66c76cfc64b7a5a06b6a26976c88e24e0518be3554b5ae9e3475c763b8121792,Zerobot,1
Payload delivery,sha256,539640a482aaee2fe743502dc59043f11aa8728ce0586c800193e30806b2d0e5,Zerobot,1
Payload delivery,sha256,0f0ba8cc3e46fff0eef68ab5f8d3010241e2eea7ee795e161f05d32a0bf13553,Zerobot,1
Payload delivery,sha256,343c9ca3787bf763a70ed892dfa139ba69141b61c561c128084b22c16829c5af,Zerobot,1
Payload delivery,sha256,874b0691378091a30d1b06f2e9756fc7326d289b03406023640c978ff7c87712,Zerobot,1
Payload delivery,sha256,29eface0054da4cd91c72a0b2d3cda61a02831b4c273e946d7e106254a6225a7,Zerobot,1
Payload delivery,sha256,4a4cb8516629c781d5557177d48172f4a7443ca1f826ea2e1aa6132e738e6db2,Zerobot,1
Payload delivery,sha256,bdfd89bdf6bc2de5655c3fe5f6f4435ec4ad37262e3cc72d8cb5204e1273ccd6,Zerobot,1
Payload delivery,sha256,62f23fea8052085d153ac7b26dcf0a15fad0c27621f543cf910e37f8bf822e0e,Zerobot,1
Payload delivery,sha256,788e15fd87c45d38629e3e715b0cb93e55944f7c4d59da2e480ffadb6b981571,Zerobot,1
Payload delivery,sha256,26e68684f5b76d9016d4f02b8255ff52d1b344416ffc19a2f5c793ff1c2fdc65,Zerobot,1
Payload delivery,sha256,e4840c5ac2c2c2170d00feadb5489c91c2943b2aa13bbec00dbcffc4ba8dcc2d,Zerobot,1
Payload delivery,sha256,45059f26e32da95f4bb5dababae969e7fceb462cdeadf7d141c39514636b905a,Zerobot,1
Payload delivery,sha256,77dd28a11e3e4260b9a9b60d58cb6aaaf2147da28015508afbaeda84c1acfe70,Zerobot,1
Payload delivery,sha256,cf232e7d39094c9ba04b9713f48b443e9d136179add674d62f16371bf40cf8c8,Zerobot,1
Payload delivery,sha256,13657b64a2ac62f9d68aeb75737cca8f2ab9f21e4c38ce04542b177cb3a85521,Zerobot,1
Payload delivery,sha256,eb33c98add35f6717a3afb0ab2f9c0ee30c6f4e0576046be9bf4fbf9c5369f71,Zerobot,1
Payload delivery,sha256,e3dd20829a34caab7f1285b730e2bb0c84c90ac1027bd8e9090da2561a61ab17,Zerobot,1
Payload delivery,sha256,3685d000f6a884ca06f66a3e47340e18ff36c16b1badb80143f99f10b8a33768,Zerobot,1
Payload delivery,sha256,cdc28e7682f9951cbe2e55dad8bc2015c1591f89310d8548c0b7a1c65dbefae3,Zerobot,1
Payload delivery,sha256,869f4fb3f185b2d1231d9378273271ddfeebb53085daede89989f9cc8d364f5f,Zerobot,1
Payload delivery,sha256,6c59af3ed1a616c238ee727f6ed59e962db70bc5a418b20b24909867eb00a9d6,Zerobot,1
Payload delivery,sha256,ef28ee3301e97eefd2568a3cb4b0f737c5f31983710c75b70d960757f2def74e,Zerobot,1
Payload delivery,sha256,95e4cc13f8388c195a1220cd44d26fcb2e10b7b8bfc3d69efbc51beb46176ff1,Zerobot,1
Payload delivery,sha256,62f9eae8a87f64424df90c87dd34401fe7724c87a394d1ba842576835ab48afc,Zerobot,1
Payload delivery,sha256,54d1daf58ecd4d8314b791a79eda2258a69d7c69a5642b7f5e15f2210958bdce,Zerobot,1
Payload delivery,sha256,8176991f355db10b32b7562d1d4f7758a23c7e49ed83984b86930b94ccc46ab3,Zerobot,1
Payload delivery,sha256,8aa89a428391683163f0074a8477d554d6c54cab1725909c52c41db2942ac60f,Zerobot,1
Payload delivery,sha256,fd65bd8ce671a352177742616b5facc77194cccec7555a2f90ff61bad4a7a0f6,Zerobot,1
Payload delivery,sha256,1e66ee40129deccdb6838c2f662ce33147ad36b1e942ea748504be14bb1ee0ef,Zerobot,1
Payload delivery,sha256,57f83ca864a2010d8d5376c68dc103405330971ade26ac920d6c6a12ea728d3d,Zerobot,1
Payload delivery,sha256,7bfd0054aeb8332de290c01f38b4b3c6f0826cf63eef99ddcd1a593f789929d6,Zerobot,1
Payload delivery,sha256,0ce7bc2b72286f236c570b1eb1c1eacf01c383c23ad76fd8ca51b8bc123be340,SparkRat,1
Payload delivery,sha256,cacb77006b0188d042ce95e0b4d46f88828694f3bf4396e61ae7c24c2381c9bf,SparkRat,1
Payload delivery,sha256,65232e30bb8459961a6ab2e9af499795941c3d06fdd451bdb83206a00b1b2b88,SparkRat,1
External analysis,link,https://www.microsoft.com/en-us/security/blog/2022/12/21/microsoft-research-uncovers-new-zerobot-capabilities/,,0
External analysis,link,https://www.fortinet.com/blog/threat-research/zerobot-new-go-based-botnet-campaign-targets-multiple-vulnerabilities,,0
Payload delivery,sha256,7ae80111746efa1444c6e687ea5608f33ea0e95d75b3c5071e358c4cccc9a6fc,Zerobot,1
Payload delivery,sha256,df76ab8411ccca9f44d91301dc2f364217e4a5e4004597a261cf964a0cd09722,Zerobot,1
Payload delivery,sha256,cd9bd2a6b3678b61f10bb6415fb37ea6b9934b9ec8bb15c39c543fd32e9be7bb,Zerobot,1
Payload delivery,sha256,50d6c5351c6476ea53e3c0d850de47059db3827b9c4a6ab4d083dfffcbde3579,Zerobot,1
Payload delivery,sha256,7722abfb3c8d498eb473188c43db8abb812a3b87d786c9e8099774a320eaed39,Zerobot,1
Payload delivery,sha256,2955dc2aec431e5db18ce8e20f2de565c6c1fb4779e73d38224437ac6a48a564,Zerobot,1
Payload delivery,sha256,191ce97483781a2ea6325f5ffe092a0e975d612b4e1394ead683577f7857592f,Zerobot,1
Payload delivery,sha256,447f9ed6698f46d55d4671a30cf42303e0bd63fe8d09d14c730c5627f173174d,Zerobot,1
Payload delivery,sha256,e0766dcad977a0d8d0e6f3f58254b98098d6a97766ddac30b97d11c1c341f005,Zerobot,1
Payload delivery,sha256,6c284131a2f94659b254ac646050bc9a8104a15c8d5482877d615d874279b822,Zerobot,1
Payload delivery,sha256,5af002f187ec661f5d274149975ddc43c9f20edd6af8e42b6626636549d2b203,Zerobot,1
Payload delivery,sha256,74f8a26eb324e65d1b71df9d0ed7b7587e99d85713c9d17c74318966f0bead0a,Zerobot,1
Payload delivery,sha256,9c16171d65935817afd6ba7ec85cd0931b4a1c3bafb2d96a897735ab8e80fd45,Zerobot,1
Payload delivery,sha256,b1d67f1cff723eda506a0a52102b261769da4eaf0551b10926c7c79a658061fd,Zerobot,1
Payload delivery,sha256,f0bb312eacde86d533c922b87e47b8536e819d7569baaec82b9a407c68084280,Zerobot,1
Payload delivery,sha256,2460434dabafe5a5dde0cce26b67f0230dbcd0d0ab5fabad1a1dbc289dc6432f,Zerobot,1
Payload delivery,sha256,2af33e1ff76a30eb83de18758380f113658d298690a436d817bd7e20df52df91,Zerobot,1
Payload delivery,sha256,4483c4f07e651ce8218216dd5c655622ff323bf3cdfe405ffeb69eafa75efad5,Zerobot,1
Payload delivery,sha256,7c085185f6754aef7824c201d8443300ff2b104521d82f9a8b8feb5d4c8d3191,Zerobot,1
Payload delivery,sha256,6ac49092ee1bdd55ddbf57df829f20aac750597d85b5904bb7bafa5b51fbb44d,Zerobot,1
Payload delivery,sha256,f9fc370955490bdf38fc63ca0540ce1ea6f7eca5123aa4eef730cb618da8551f,Zerobot,1
Payload delivery,sha256,6dd71163b6ab81a35ce373875a688ad9b31e0d1c292f02e8b2bafa7b3d1e3731,Zerobot,1
Payload delivery,sha256,d88e9248ff4c983aa9ae2e77cf79cb4efc833c947ec2d274983e45c41bbe47e1,Zerobot,1
Payload delivery,sha256,96bbb269fd080fedd01679ea82156005a16724b3cde1eb650a804fa31f18524e,Zerobot,1
Payload delivery,sha256,439b2e500e82c96d30e1ef8a7918e1f864e6d706d944aeddffe61b8bf81ef6d3,Zerobot,1
Payload delivery,sha256,af48b072d0070fa09bca0868848b62df5228c34ef24d233d8eb75a1fde8ac23f,Zerobot,1
Payload delivery,sha256,5824fc51fcfba1a6315fd21422559d63c56f0e2192937085d65f9a0ac770eb3a,Zerobot,1
Payload delivery,sha256,c9ea4cda12c14c895e23988229831b8f04ccab315c1cbc76a9efae888be55a3b,Zerobot,1
Payload delivery,sha256,e2c2a0cccefc4314c110f3c0b887e5008073e607c61e1adde5000efb8e630d50,Zerobot,1
