category	type	value	comment	attribute_tag
Network activity	ip-dst	5.199.133.149	MuddyWater C2	"misp-galaxy:tgc-actors=""MuddyWater, Seedworm, TEMP.Zagros, Static Kitten"""
Network activity	ip-dst	45.142.213.17	MuddyWater C2	"misp-galaxy:tgc-actors=""MuddyWater, Seedworm, TEMP.Zagros, Static Kitten"""
Network activity	ip-dst	45.142.212.61	MuddyWater C2	"misp-galaxy:tgc-actors=""MuddyWater, Seedworm, TEMP.Zagros, Static Kitten"""
Network activity	ip-dst	45.153.231.104	MuddyWater C2	"misp-galaxy:tgc-actors=""MuddyWater, Seedworm, TEMP.Zagros, Static Kitten"""
Network activity	ip-dst	46.166.129.159	MuddyWater C2	"misp-galaxy:tgc-actors=""MuddyWater, Seedworm, TEMP.Zagros, Static Kitten"""
Network activity	ip-dst	80.85.158.49	MuddyWater C2	"misp-galaxy:tgc-actors=""MuddyWater, Seedworm, TEMP.Zagros, Static Kitten"""
Network activity	ip-dst	87.236.212.22	MuddyWater C2	"misp-galaxy:tgc-actors=""MuddyWater, Seedworm, TEMP.Zagros, Static Kitten"""
Network activity	ip-dst	88.119.170.124	MuddyWater C2	"misp-galaxy:tgc-actors=""MuddyWater, Seedworm, TEMP.Zagros, Static Kitten"""
Network activity	ip-dst	88.119.171.213	MuddyWater C2	"misp-galaxy:tgc-actors=""MuddyWater, Seedworm, TEMP.Zagros, Static Kitten"""
Network activity	ip-dst	89.163.252.232	MuddyWater C2	"misp-galaxy:tgc-actors=""MuddyWater, Seedworm, TEMP.Zagros, Static Kitten"""
Network activity	ip-dst	95.181.161.49	MuddyWater C2	"misp-galaxy:tgc-actors=""MuddyWater, Seedworm, TEMP.Zagros, Static Kitten"""
Network activity	ip-dst	95.181.161.50	MuddyWater C2	"misp-galaxy:tgc-actors=""MuddyWater, Seedworm, TEMP.Zagros, Static Kitten"""
Network activity	ip-dst	164.132.237.65	MuddyWater C2	"misp-galaxy:tgc-actors=""MuddyWater, Seedworm, TEMP.Zagros, Static Kitten"""
