category,type,value,comment
Payload delivery,sha256,de14f22c88e552b61c62ab28d27a617fb8c0737350ca7c631de5680850282761,Malware sample
Payload delivery,sha256,b4aabfb8f0327370ce80970c357b84782eaf0aabfc70f5e7340746f25252d541,Malware sample
Payload delivery,sha256,fc2147ddd8613f08dd833b6966891de9e5309587a61e4b35408d56f43e72697e,Malware sample
Payload delivery,sha256,c55ab8fdd060fb532c599ee6647d1d7b52a013e4d8d3223b361db86c1f43e845,Malware sample
Payload delivery,sha256,f86ebeb6b3c7f12ae98fe278df707d9ebdc17b19be0c773309f9af599243d0a3,Malware sample
Payload delivery,sha256,8b664300fff1238d6c741ac17294d714098c5653c3ef992907fc498655ff7c20,Malware sample
Payload delivery,sha256,1ce1eb64679689860a1eacb76def7c3e193504be53ebb0588cddcbde9d2b9fe6,Malware sample
Payload delivery,domain,df.micfkbeljacob.com,C2 server
Payload delivery,domain,t1.hinitial.com,C2 server
Network activity,ip-dst,5.181.25.55,C2 server
Network activity,ip-dst,92.38.135.62,C2 server
Network activity,ip-dst,5.8.71.97,C2 server
Network activity,domain,micfkbeljacob.com,Malicious domain
Network activity,hostname,df.micfkbeljacob.com,Malicious domain
Payload delivery,domain,jack.micfkbeljacob.com,Malicious domain
Network activity,domain,hinitial.com,Malicious domain
Payload delivery,domain,v2.hinitial.com,Malicious domain
Payload delivery,domain,v3.hinitial.com,Malicious domain
Payload delivery,domain,v4.hinitial.com,Malicious domain
Payload delivery,domain,v5.hinitial.com,Malicious domain
Payload delivery,domain,goodjob36.publicvm.com,"Warning: Potential false positives:
Top 1,000,000 most-used sites from Tranco
-----
Malicious domain"
Payload delivery,domain,goodluck23.jp.us,Malicious domain
Payload delivery,domain,helpinfo.publicvm.com,"Warning: Potential false positives:
Top 1,000,000 most-used sites from Tranco
-----
Malicious domain"
Payload delivery,domain,mailedc.publicvm.com,"Warning: Potential false positives:
Top 1,000,000 most-used sites from Tranco
-----
Malicious domain"
Network activity,ip-dst,101.36.102.34,
Network activity,ip-dst,101.36.102.93,
Network activity,ip-dst,101.36.114.167,
Network activity,ip-dst,101.36.123.191,
Network activity,ip-dst,103.116.47.65,
Network activity,ip-dst,103.179.188.93,
Network activity,ip-dst,103.22.183.131,
Network activity,ip-dst,103.22.183.138,
Network activity,ip-dst,103.22.183.141,
Network activity,ip-dst,103.22.183.146,
Network activity,ip-dst,103.51.145.143,
Network activity,ip-dst,103.61.139.71,
Network activity,ip-dst,103.61.139.72,
Network activity,ip-dst,103.61.139.75,
Network activity,ip-dst,103.61.139.78,
Network activity,ip-dst,103.61.139.79,
Network activity,ip-dst,103.78.242.62,
Network activity,ip-dst,118.193.56.130,
Network activity,ip-dst,118.193.62.232,
Network activity,ip-dst,123.58.196.208,
Network activity,ip-dst,123.58.198.205,
Network activity,ip-dst,123.58.203.19,
Network activity,ip-dst,128.14.232.56,
Network activity,ip-dst,152.32.165.70,
Network activity,ip-dst,152.32.203.199,
Network activity,ip-dst,152.32.221.222,
Network activity,ip-dst,152.32.245.157,
Network activity,ip-dst,154.222.238.50,
Network activity,ip-dst,154.222.238.51,
Network activity,ip-dst,165.154.52.41,
Network activity,ip-dst,165.154.70.51,
Network activity,ip-dst,167.88.182.166,
Network activity,ip-dst,176.113.71.62,
Network activity,ip-dst,2.58.242.230,
Network activity,ip-dst,2.58.242.231,
Network activity,ip-dst,2.58.242.235,
Network activity,ip-dst,202.87.223.27,
