category,type,value,attribute_tag
Network activity,url,https://kakiosk.adsparkdev.com/test.php?hjkiofilihyl=,Gootloader
Network activity,url,https://junk-bros.com/test.php?hjkiofilihyl=,Gootloader
Network activity,url,https://jp.imonitorsoft.com/test.php?hjkiofilihyl=,Gootloader
Payload delivery,md5,d7d3e1c76d5e2fa9f7253c8ababd6349,
Payload delivery,sha1,724013ea6906a3122698fd125f55546eac0c1fe0,
Payload delivery,sha256,6e141779a4695a637682d64f7bc09973bb82cd24211b2020c8c1648cdb41001b,
Payload delivery,md5,b50333ff4e5cbcda8b88ce109e882eeb,
Payload delivery,sha1,44589fc2a4d1379bee93282bbdb16acbaf762a45,
Payload delivery,sha256,7d93b3531f5ab7ef8d68fb3d06f57e889143654de4ba661e5975dae9679bbb2c,
Artifacts dropped,md5,acef25c1f6a7da349e62b365c05ae60c,
Artifacts dropped,sha1,c5d134a96ca4d33e96fb0ab68cf3139a95cf8071,
Artifacts dropped,sha256,d00edf5b9a9a23d3f891afd51260b3356214655a73e1a361701cda161798ea0b,
Artifacts dropped,md5,b4626a335789e457ea48e56dfbf39710,
Artifacts dropped,sha1,62a7656d81789591358796100390799e83428519,
Artifacts dropped,sha256,c4939f6ad41d4f83b427db797aaca106b865b6356b1db3b7c63b995085457222,
Artifacts dropped,md5,87ae2a50ba94f45da39ec7673d71547c,
Artifacts dropped,sha1,dfa0b4206abede8f441fcdc8155803b8967e035c,
Artifacts dropped,sha256,8764131983eac23033c460833de5e439a4c475ad94cfd561d80cb62f86ff50a4,
