category,type,value,comment
Payload delivery,sha256,01fd6e0c8393a5f4112ea19a26bedffb31d6a01f4d3fe5721ca20f479766208f,QAKBOT Loader
Payload delivery,sha256,74da9610cb92a5a6fc15c856d3af73ff2b069f23d5a9712e48b6fd40b52fc744,Cobalt Strike DLL
Payload delivery,sha256,726bce40d17b3f9b245af6b78251469b89cde4d3428187f5c11ed4c3f5b58ed4,Cobalt Strike DLL
Payload delivery,sha256,a7d6cd8209eea40a9bcf32e923b7723d8724895f5d1084605a64651c3a811b03,Cobalt Strike DLL
Payload delivery,sha256,94392d757ba3526c3dcd5c3ddcb3f005c6330ef075dc246d08a8b79e017c0c01,Cobalt Strike DLL
Payload delivery,sha256,9efbc691d53ea9aa1eef245da23e197310bf266b0223ae1af8035bf854782edd,Cobalt Strike DLL
Payload delivery,sha256,c545541fecd97b2c46ab0c6db25a2f87b48ffadbd2c75ad65c7ce2781a8de491,Cobalt Strike DLL
Payload delivery,sha256,a0adcd303fdff7747ab93df07b0722eab9890ba9deab7d322f077d6774ef6bc0,Cobalt Strike DLL
Payload delivery,sha256,66ff672282b02f4796e006f2cfef125cccfd542b65eb3fbc728badf09cb94202,Cobalt Strike DLL
Payload delivery,sha256,6f9e9137a014b29f47722dbbb7a290eff11a9da3226af01bb2ecb78116dcb607,Cobalt Strike DLL
Payload delivery,sha256,62cb24967c6ce18d35d2a23ebed4217889d796cf7799d9075c1aa7752b8d3967,Brute Ratel DLL
Payload delivery,sha256,1751c378e2b14bd6238c3189e13501d191c117fdfe65e4e0ea1cb5829cce2bb9,Cobalt Strike DLL
Payload delivery,sha256,64a95de2783a97160bac6914ee07a42cdd154a0e33abc3b1b62c7bafdce24c0c,BRUTEL RATEL DLL
Payload delivery,sha256,54e844b5ae4a056ca8df4ca7299249c4910374d64261c83ac55e5fdf1b59f01d,BRUTEL RATEL DLL
Payload delivery,sha256,01af5478e290bfcd23eeb39ff3af8802ab11a410038cae957ccb56de45d90ac0,Brute Ratel EXE
Payload delivery,sha256,f2fe89d8de9dc29ddca56918beb652df1b3d44218bf5e084c4d0de7325ec54f5,Brute Ratel EXE
Payload delivery,sha256,31103788fae9b988d9d4362b848249b49ea60e15fc5982f26b13447064a13325,Black Basta
Payload delivery,sha256,ce01002614eb7029131a73769db721ac68ef47989d7a8022980d3ae22c82b6f7,Black Basta
Payload delivery,sha256,48976d7bf38cca4e952507e9ab27e3874ca01092eed53d0fde89c5966e9533bb,Black Basta
