category,type,value,comment,to_ids
Network activity,ip-dst|port,86.194.156.14|2222,QakNote,1
Network activity,ip-dst|port,47.21.51.138|443,C2,1
Network activity,ip-dst|port,72.80.7.6|50003,C2,1
Network activity,ip-dst|port,82.127.204.82|2222,C2,1
Network activity,ip-dst|port,49.175.72.56|443,C2,1
Network activity,ip-dst|port,201.244.108.183|995,C2,1
Network activity,ip-dst|port,122.184.143.82|443,C2,1
Network activity,ip-dst|port,102.156.253.86|443,C2,1
Network activity,ip-dst|port,74.58.71.237|443,C2,1
Network activity,ip-dst|port,47.21.51.138|995,C2,1
Network activity,ip-dst|port,77.86.98.236|443,C2,1
Network activity,ip-dst|port,71.31.101.183|443,C2,1
Network activity,ip-dst|port,136.232.184.134|995,C2,1
Network activity,ip-dst|port,86.225.214.138|2222,C2,1
Network activity,ip-dst|port,95.242.101.251|995,C2,1
Network activity,ip-dst|port,109.11.175.42|2222,C2,1
Network activity,ip-dst|port,90.78.138.217|2222,C2,1
Network activity,ip-dst|port,184.176.35.223|2222,C2,1
Network activity,ip-dst|port,35.143.97.145|995,C2,1
Network activity,ip-dst|port,202.186.177.88|443,C2,1
Network activity,ip-dst|port,114.79.180.14|995,C2,1
Network activity,ip-dst|port,86.150.47.219|443,C2,1
Network activity,ip-dst|port,183.87.163.165|443,C2,1
Network activity,ip-dst|port,50.68.186.195|443,C2,1
Network activity,ip-dst|port,190.75.95.164|2222,C2,1
Network activity,ip-dst|port,98.145.23.67|443,C2,1
Network activity,ip-dst|port,67.10.175.47|2222,C2,1
Network activity,ip-dst|port,71.212.147.224|2222,C2,1
Network activity,ip-dst|port,88.126.94.4|50000,C2,1
Network activity,ip-dst|port,103.140.174.19|2222,C2,1
Network activity,ip-dst|port,103.231.216.238|443,C2,1
Network activity,ip-dst|port,78.84.123.237|995,C2,1
Network activity,ip-dst|port,180.151.108.14|443,C2,1
Network activity,ip-dst|port,80.47.57.131|2222,C2,1
Network activity,ip-dst|port,198.2.51.242|993,C2,1
Network activity,ip-dst|port,50.68.204.71|995,C2,1
Network activity,ip-dst|port,205.164.227.222|443,C2,1
Network activity,ip-dst|port,147.219.4.194|443,C2,1
Network activity,ip-dst|port,77.124.6.149|443,C2,1
Network activity,ip-dst|port,49.245.82.178|2222,C2,1
Network activity,ip-dst|port,46.10.198.107|443,C2,1
Network activity,ip-dst|port,76.80.180.154|995,C2,1
Network activity,ip-dst|port,12.172.173.82|32101,C2,1
Network activity,ip-dst|port,68.150.18.161|443,C2,1
Network activity,ip-dst|port,68.173.170.110|8443,C2,1
Network activity,ip-dst|port,24.9.220.167|443,C2,1
Network activity,ip-dst|port,12.172.173.82|2087,C2,1
Network activity,ip-dst|port,50.68.204.71|993,C2,1
Network activity,ip-dst|port,107.146.12.26|2222,C2,1
Network activity,ip-dst|port,81.229.117.95|2222,C2,1
Network activity,ip-dst|port,27.0.48.233|443,C2,1
Network activity,ip-dst|port,69.133.162.35|443,C2,1
Network activity,ip-dst|port,59.28.84.65|443,C2,1
Network activity,ip-dst|port,76.170.252.153|995,C2,1
Network activity,ip-dst|port,89.32.159.192|995,C2,1
Network activity,ip-dst|port,202.142.98.62|995,C2,1
Network activity,ip-dst|port,73.78.215.104|443,C2,1
Network activity,ip-dst|port,181.164.217.211|443,C2,1
Network activity,ip-dst|port,92.97.203.51|2222,C2,1
Network activity,ip-dst|port,116.74.164.26|443,C2,1
Network activity,ip-dst|port,103.141.50.102|995,C2,1
Network activity,ip-dst|port,149.74.159.67|2222,C2,1
Network activity,ip-dst|port,116.72.250.18|443,C2,1
Network activity,ip-dst|port,125.99.69.178|443,C2,1
Network activity,ip-dst|port,202.142.98.62|443,C2,1
Network activity,ip-dst|port,67.61.71.201|443,C2,1
Network activity,ip-dst|port,103.123.223.168|443,C2,1
Network activity,ip-dst|port,80.13.205.69|2222,C2,1
Network activity,ip-dst|port,80.0.74.165|443,C2,1
Network activity,ip-dst|port,86.99.54.39|2222,C2,1
Network activity,ip-dst|port,213.67.255.57|2222,C2,1
Network activity,ip-dst|port,176.142.207.63|443,C2,1
Network activity,ip-dst|port,50.67.17.92|443,C2,1
Network activity,ip-dst|port,217.165.1.53|2222,C2,1
Network activity,ip-dst|port,70.64.77.115|443,C2,1
Network activity,ip-dst|port,2.50.47.74|443,C2,1
Network activity,ip-dst|port,66.191.69.18|995,C2,1
