type,ioc
domain,aneria.net
domain,armpress.net
domain,ceriossl.info
domain,global-news-world.com
domain,global-world-news.net
domain,globalnewsnew.com
domain,infocentre.icu
domain,mai1.namenews.info
domain,newsnew.info
domain,runstatistics.net
domain,sourcescdn.net
domain,starvars.top
ip,46.183.219.207
ip,77.243.181.238
ip,144.76.69.94
ip,46.183.219.232
ip,45.138.87.250
ip,144.76.7.190
ip,77.243.181.10
ip,5.199.162.132
ip,185.210.217.218
ip,144.76.184.94
ip,162.55.241.4
ip,185.195.236.230
email,ukraine_news@meta.ua
