category, type, value
Network activity, ip-dst|port, 213.239.212.5|443
Network activity, ip-dst|port, 129.232.188.93|443
Network activity, ip-dst|port, 103.43.75.120|443
Network activity, ip-dst|port, 197.242.150.244|8080
Network activity, ip-dst|port, 1.234.2.232|8080
Network activity, ip-dst|port, 110.232.117.186|8080
Network activity, ip-dst|port, 95.217.221.146|8080
Network activity, ip-dst|port, 159.89.202.34|443
Network activity, ip-dst|port, 159.65.88.10|8080
Network activity, ip-dst|port, 82.223.21.224|8080
Network activity, ip-dst|port, 169.57.156.166|8080
Network activity, ip-dst|port, 45.176.232.124|443
Network activity, ip-dst|port, 45.235.8.30|8080
Network activity, ip-dst|port, 173.212.193.249|8080
Network activity, ip-dst|port, 107.170.39.149|8080
Network activity, ip-dst|port, 119.59.103.152|8080
Network activity, ip-dst|port, 167.172.199.165|8080
Network activity, ip-dst|port, 91.207.28.33|8080
Network activity, ip-dst|port, 185.4.135.165|8080
Network activity, ip-dst|port, 104.168.155.143|8080
Network activity, ip-dst|port, 103.85.95.4|8080
Network activity, ip-dst|port, 103.224.241.74|8080
Network activity, ip-dst|port, 178.238.225.252|8080
Network activity, ip-dst|port, 37.59.103.148|8080
Network activity, ip-dst|port, 78.47.204.80|443
Network activity, ip-dst|port, 138.197.14.67|8080
Network activity, ip-dst|port, 128.199.242.164|8080
Network activity, ip-dst|port, 54.37.228.122|443
Network activity, ip-dst|port, 37.44.244.177|8080
Network activity, ip-dst|port, 139.59.80.108|8080
Network activity, ip-dst|port, 218.38.121.17|443
Network activity, ip-dst|port, 82.98.180.154|7080
Network activity, ip-dst|port, 114.79.130.68|443
Network activity, ip-dst|port, 159.65.135.222|7080
Network activity, ip-dst|port, 174.138.33.49|7080
Network activity, ip-dst|port, 195.77.239.39|8080
Network activity, ip-dst|port, 193.194.92.175|443
Network activity, ip-dst|port, 198.199.70.22|8080
Network activity, ip-dst|port, 85.214.67.203|8080
Network activity, ip-dst|port, 93.84.115.205|7080
